Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Zambia,ZMB,3470.4355111779
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Zimbabwe,ZWE,2310.63480227045
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Africa Eastern and Southern,AFE,3684.31517238598
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Africa Western and Central,AFW,4159.84464980278
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Arab World,ARB,14445.1518556446
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Caribbean small states,CSS,16172.2017723824
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Central Europe and the Baltics,CEB,32642.845215247
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Early-demographic dividend,EAR,9480.75588955276
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific,EAS,17721.2154919556
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (excluding high income),EAP,14425.3308009559
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (IDA & IBRD countries),TEA,14585.3240142404
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Euro area,EMU,47043.0494330536
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia,ECS,35354.4536309176
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (excluding high income),ECA,21753.9874940841
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (IDA & IBRD countries),TEC,23104.1331975011
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,European Union,EUU,44394.8203528284
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Fragile and conflict affected situations,FCS,4734.00992879594
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Heavily indebted poor countries (HIPC),HPC,2604.61774735098
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,High income,HIC,50027.7582114182
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IBRD only,IBD,13460.2859264144
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IDA & IBRD total,IBT,10985.7092969232
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IDA blend,IDB,5131.46833527187
